name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPH_4_8_3_0_combined_id24,43,2,90.89236111111111,0.75,0.9384744763374329,4.373858451843262
5KPH_2_6_4_0_combined_id7,43,4,93.27833333333336,0.79,0.6566320061683655,1.7256193161010742
5KPE_2_8_9_0_combined_id19,44,4,76.3824074074074,0.65,2.2974162101745605,1.9351108074188232
5KPH_4_2_1_0_combined_id21,44,1,91.05388888888888,0.74,0.716986358165741,4.050618648529053
5KPH_4_2_3_0_combined_id15,44,2,88.83958333333334,0.73,0.6776260137557983,3.920212507247925
5KPE_2_2_1_0_combined_id20,44,5,88.36712962962963,0.72,1.400205373764038,0.9006361961364746
5KPE_4_6_7_0_combined_id20,43,2,80.05712962962963,0.63,1.388529896736145,3.0910754203796387
5KPE_6_6_8_0_combined_id11,44,2,68.04166666666666,0.51,11.578632354736328,11.405964851379395
5KPH_4_2_1_0_combined_id22,42,1,87.77055555555555,0.69,1.308785080909729,3.930896759033203
5KPH_2_4_5_0_combined_id8,44,5,95.4851388888889,0.82,0.6897246837615967,1.4129588603973389
5KPH_2_6_2_0_combined_id4,44,5,89.83875,0.73,0.8426849246025085,1.7549755573272705
5KPE_4_4_8_0_combined_id5,43,2,71.97120370370371,0.55,12.139670372009277,13.00422191619873
5KPE_2_2_3_0_combined_id21,42,1,67.30722222222222,0.57,10.624815940856934,11.318734169006348
5KPH_4_8_4_0_combined_id22,43,3,86.38375,0.64,1.6498527526855469,3.0950064659118652
5KPE_4_8_3_0_combined_id7,42,1,83.85203703703706,0.68,1.683008074760437,3.3787593841552734
5KPE_2_2_2_0_combined_id12,42,1,81.39175925925929,0.67,1.87294602394104,1.511398196220398
5KPE_2_4_3_0_combined_id17,43,4,89.41138888888888,0.77,1.4297816753387451,1.3066043853759766
5KPE_6_4_6_0_combined_id2,42,3,70.37407407407407,0.47,8.979350090026855,9.457271575927734
5KPH_6_4_4_0_combined_id1,44,1,82.98555555555555,0.63,2.2740941047668457,4.2645673751831055
5KPE_2_4_0_0_combined_id13,44,3,70.55601851851851,0.59,7.3347978591918945,8.136272430419922
5KPE_2_2_1_0_combined_id23,42,4,88.28407407407406,0.72,1.32424795627594,1.3037534952163696
5KPE_2_8_0_0_combined_id21,44,4,86.1498148148148,0.7,1.7164361476898193,1.0848218202590942
5KPE_2_2_6_0_combined_id11,44,2,62.79703703703704,0.51,8.693445205688477,8.97684097290039
5KPH_6_4_0_0_combined_id23,42,3,88.06,0.67,1.2060295343399048,5.366447448730469
5KPH_4_6_0_0_combined_id24,42,3,94.45694444444445,0.8,0.7934136986732483,3.7825567722320557
5KPE_6_4_7_0_combined_id17,42,4,64.43111111111111,0.52,10.0217924118042,10.087989807128906
5KPH_2_8_2_0_combined_id13,42,5,91.95458333333332,0.75,0.786453902721405,2.117645502090454
5KPE_2_2_6_0_combined_id10,43,1,90.94925925925926,0.75,1.178493618965149,1.4553920030593872
5KPE_4_8_1_0_combined_id22,43,1,85.81037037037038,0.68,1.7759474515914917,3.024127244949341
5KPH_2_2_3_0_combined_id2,42,5,91.1434722222222,0.73,0.7729676365852356,1.8546347618103027
5KPE_4_6_4_0_combined_id22,42,1,88.74314814814815,0.76,1.6021101474761963,3.4333479404449463
5KPE_2_2_9_0_combined_id19,43,4,68.7112037037037,0.55,7.569492340087891,8.404155731201172
5KPH_4_4_6_0_combined_id18,42,4,88.84444444444443,0.71,0.9601539373397827,3.825099229812622
